iter	Passed	Remaining
0	162	162672
1	163	81687
2	164	54636
3	165	41110
4	165	32987
5	166	27588
6	167	23719
7	167	20817
8	168	18582
9	169	16778
10	170	15305
11	170	14070
12	171	13026
13	172	12146
14	173	11369
15	173	10688
16	174	10087
17	175	9554
18	175	9073
19	176	8643
20	177	8261
21	177	7909
22	178	7589
23	179	7302
24	180	7047
25	181	6805
26	182	6576
27	183	6358
28	183	6151
29	184	5959
30	185	5782
31	185	5618
32	186	5472
33	187	5323
34	188	5183
35	188	5051
36	189	4929
37	189	4808
38	190	4694
39	191	4590
40	192	4497
41	193	4402
42	193	4310
43	194	4220
44	194	4134
45	195	4052
46	195	3973
47	196	3897
48	197	3825
49	198	3766
50	198	3699
51	199	3636
52	200	3574
53	200	3514
54	201	3457
55	201	3401
56	202	3349
57	203	3298
58	203	3253
59	204	3205
60	205	3158
61	205	3113
62	206	3069
63	206	3026
64	207	2985
65	208	2945
66	208	2908
67	209	2874
68	210	2838
69	211	2805
70	211	2770
71	212	2736
72	212	2703
73	213	2670
74	213	2639
75	214	2611
76	215	2588
77	216	2560
78	217	2535
79	218	2510
80	218	2483
81	219	2456
82	219	2430
83	220	2407
84	221	2382
85	222	2362
86	222	2337
87	223	2315
88	223	2292
89	224	2270
90	225	2248
91	225	2226
92	226	2206
93	226	2187
94	228	2173
95	228	2154
96	229	2136
97	230	2117
98	230	2099
99	231	2080
100	231	2063
101	232	2044
102	232	2028
103	233	2013
104	234	1997
105	235	1982
106	235	1966
107	236	1951
108	236	1936
109	237	1921
110	238	1906
111	238	1892
112	239	1878
113	240	1866
114	240	1853
115	241	1839
116	242	1827
117	242	1814
118	243	1800
119	243	1787
120	244	1775
121	245	1763
122	245	1750
123	246	1742
124	247	1730
125	247	1719
126	248	1710
127	249	1697
128	249	1686
129	250	1675
130	251	1665
131	251	1655
132	252	1648
133	253	1638
134	254	1628
135	254	1618
136	255	1608
137	255	1598
138	256	1588
139	257	1578
140	257	1570
141	258	1563
142	259	1555
143	260	1546
144	261	1539
145	261	1530
146	262	1521
147	262	1512
148	263	1503
149	263	1495
150	264	1489
151	265	1481
152	266	1473
153	266	1465
154	267	1458
155	268	1450
156	268	1442
157	269	1434
158	269	1426
159	270	1420
160	271	1414
161	272	1407
162	272	1400
163	273	1393
164	274	1387
165	274	1380
166	275	1373
167	275	1366
168	276	1359
169	277	1354
170	278	1348
171	278	1341
172	279	1336
173	280	1330
174	280	1323
175	281	1317
176	281	1310
177	282	1304
178	283	1300
179	284	1294
180	284	1287
181	285	1282
182	285	1276
183	286	1270
184	287	1264
185	287	1258
186	288	1253
187	288	1247
188	289	1244
189	290	1238
190	291	1233
191	291	1228
192	292	1223
193	293	1217
194	293	1212
195	294	1206
196	294	1201
197	295	1197
198	296	1193
199	297	1188
200	297	1183
201	298	1178
202	298	1173
203	299	1168
204	300	1163
205	300	1159
206	301	1155
207	302	1152
208	303	1149
209	304	1144
210	304	1140
211	305	1135
212	306	1132
213	307	1128
214	307	1123
215	308	1119
216	309	1115
217	309	1110
218	310	1106
219	310	1101
220	311	1097
221	312	1093
222	313	1090
223	313	1086
224	314	1082
225	314	1078
226	315	1074
227	316	1070
228	316	1065
229	317	1061
230	317	1057
231	318	1054
232	319	1050
233	319	1047
234	320	1043
235	321	1039
236	321	1036
237	322	1032
238	323	1028
239	323	1025
240	324	1022
241	325	1018
242	325	1015
243	326	1011
244	327	1008
245	327	1004
246	328	1000
247	328	997
248	329	993
249	330	990
250	330	987
251	331	984
252	332	980
253	332	977
254	333	974
255	334	971
256	334	967
257	335	964
258	335	961
259	336	958
260	337	956
261	338	953
262	338	949
263	339	947
264	340	944
265	341	941
266	341	938
267	342	936
268	343	933
269	344	930
270	344	927
271	345	925
272	346	923
273	347	920
274	348	917
275	348	915
276	349	912
277	350	910
278	351	907
279	352	905
280	353	903
281	353	900
282	354	898
283	355	896
284	356	893
285	357	891
286	357	888
287	358	886
288	359	883
289	360	881
290	360	879
291	361	877
292	362	874
293	363	871
294	363	869
295	364	866
296	364	863
297	365	861
298	366	858
299	367	856
300	368	855
301	369	852
302	369	850
303	370	848
304	371	845
305	371	843
306	372	841
307	373	838
308	374	836
309	374	834
310	375	831
311	376	829
312	377	827
313	377	825
314	378	823
315	379	820
316	380	818
317	380	816
318	381	814
319	382	812
320	383	810
321	383	807
322	384	805
323	385	803
324	385	801
325	386	799
326	387	797
327	388	795
328	389	793
329	389	791
330	390	789
331	393	792
332	394	791
333	396	790
334	397	788
335	398	787
336	399	785
337	400	784
338	401	783
339	403	782
340	405	783
341	407	783
342	407	781
343	408	779
344	411	780
345	412	779
346	413	777
347	414	776
348	415	775
349	417	774
350	418	773
351	419	771
352	420	770
353	421	768
354	422	766
355	422	765
356	423	763
357	424	761
358	425	759
359	426	757
360	426	755
361	427	753
362	428	751
363	428	749
364	429	747
365	430	745
366	431	743
367	432	742
368	432	740
369	433	738
370	434	736
371	435	735
372	436	733
373	437	732
374	438	730
375	439	729
376	440	728
377	441	727
378	442	725
379	443	723
380	443	721
381	444	719
382	445	717
383	446	716
384	447	714
385	447	712
386	448	710
387	449	708
388	450	707
389	450	705
390	451	703
391	452	701
392	453	699
393	453	698
394	454	696
395	455	694
396	455	692
397	456	690
398	457	688
399	457	686
400	458	684
401	459	682
402	459	681
403	460	679
404	461	678
405	462	676
406	463	675
407	463	673
408	464	671
409	465	670
410	466	668
411	467	666
412	467	665
413	468	663
414	469	661
415	469	659
416	470	657
417	471	656
418	471	654
419	472	652
420	473	651
421	474	649
422	474	647
423	475	645
424	476	644
425	476	642
426	477	640
427	478	638
428	478	637
429	479	635
430	480	634
431	480	632
432	481	630
433	482	628
434	482	626
435	483	625
436	483	623
437	484	621
438	485	620
439	486	618
440	486	616
441	487	615
442	487	613
443	488	611
444	488	609
445	489	608
446	490	606
447	491	605
448	491	603
449	492	601
450	493	600
451	493	598
452	494	597
453	495	595
454	496	594
455	496	592
456	497	591
457	498	589
458	498	587
459	499	586
460	499	584
461	500	582
462	501	581
463	501	579
464	502	578
465	503	576
466	504	575
467	504	573
468	505	571
469	505	570
470	506	568
471	506	567
472	507	565
473	508	563
474	508	562
475	509	560
476	510	559
477	510	557
478	511	556
479	511	554
480	512	552
481	512	551
482	513	549
483	514	548
484	514	546
485	515	545
486	516	543
487	516	542
488	517	540
489	517	538
490	518	537
491	518	535
492	519	534
493	520	532
494	521	531
495	521	530
496	522	528
497	522	527
498	523	525
499	524	524
500	524	522
501	525	520
502	525	519
503	526	517
504	526	516
505	527	514
506	528	513
507	528	511
508	529	510
509	529	508
510	530	507
511	530	505
512	531	504
513	531	502
514	532	501
515	533	500
516	533	498
517	534	497
518	534	495
519	535	494
520	536	492
521	536	491
522	537	489
523	537	488
524	538	487
525	538	485
526	539	484
527	540	483
528	541	481
529	541	480
530	542	479
531	543	477
532	543	476
533	544	474
534	544	473
535	545	472
536	545	470
537	546	469
538	547	467
539	547	466
540	548	465
541	548	463
542	549	462
543	549	460
544	550	459
545	550	458
546	551	456
547	552	455
548	552	454
549	553	452
550	553	451
551	554	449
552	554	448
553	555	447
554	555	445
555	556	444
556	557	443
557	557	441
558	558	440
559	558	439
560	559	437
561	559	436
562	560	435
563	561	433
564	561	432
565	562	430
566	562	429
567	563	428
568	563	426
569	564	425
570	564	424
571	565	423
572	565	421
573	566	420
574	567	419
575	567	417
576	568	416
577	568	415
578	569	413
579	569	412
580	570	411
581	571	410
582	571	408
583	572	407
584	572	406
585	573	405
586	573	403
587	574	402
588	574	401
589	575	399
590	576	398
591	576	397
592	577	396
593	577	394
594	578	393
595	578	392
596	579	391
597	580	389
598	580	388
599	581	387
600	581	386
601	582	385
602	583	383
603	583	382
604	584	381
605	585	380
606	586	379
607	586	378
608	587	376
609	587	375
610	588	374
611	588	373
612	589	372
613	589	370
614	590	369
615	591	368
616	591	367
617	592	366
618	592	364
619	593	363
620	593	362
621	594	361
622	595	360
623	595	358
624	596	357
625	596	356
626	597	355
627	597	354
628	598	352
629	598	351
630	599	350
631	600	349
632	600	348
633	601	347
634	601	345
635	602	344
636	602	343
637	603	342
638	604	341
639	604	340
640	605	338
641	605	337
642	606	336
643	606	335
644	607	334
645	607	333
646	608	332
647	609	330
648	609	329
649	610	328
650	610	327
651	611	326
652	611	325
653	612	323
654	612	322
655	613	321
656	614	320
657	614	319
658	615	318
659	616	317
660	616	316
661	617	315
662	618	314
663	618	313
664	619	311
665	619	310
666	620	309
667	621	308
668	621	307
669	622	306
